panel,run_id,condition,learning_rate,step,value_raw,value_plot,smoothed
train_length_line_err_cm,ha6twq89,norm-only,0.003,0,0.820880115032196,0.820880115032196,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,200,0.15116539597511292,0.7539086431264878,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,400,0.09507312625646591,0.6880250914394856,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,600,0.07647407054901123,0.6268699893504381,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,800,0.07921808958053589,0.5721047993734479,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,1000,0.0644436627626419,0.5213386857123674,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,1200,0.06820188462734222,0.4760250056038649,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,1400,0.06451800465583801,0.4348743055090622,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,1600,0.06558790802955627,0.3979456657611116,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,1800,0.05928061529994011,0.3640791607149945,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,2000,0.061128225177526474,0.3337840671612477,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,2200,0.055708833038806915,0.3059765437490036,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,2400,0.05321770906448364,0.28070066028055163,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,2600,0.05531834065914154,0.25816242831841063,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,2800,0.054746899753808975,0.23782087546195047,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,3000,0.059321079403162,0.21997089585607163,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,3200,0.04683093726634979,0.20265689999709943,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,3400,0.04806187376379967,0.18719739737376948,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,3600,0.045017264783382416,0.17297938411473077,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,3800,0.04756621643900871,0.16043806734715857,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,4000,0.05263741686940193,0.1496580022993829,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,4200,0.04640244320034981,0.1393324463894796,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,4400,0.0458206869661808,0.12998127044714972,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,4600,0.04202243685722351,0.1211853870881571,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,4800,0.04577896371483803,0.11364474475082519,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,5000,0.04509787634015083,0.10679005790975775,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,5200,0.045244865119457245,0.10063553863072769,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,5400,0.043076835572719574,0.09487966832492688,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,5600,0.044354889541864395,0.08982719044662063,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,5800,0.043716371059417725,0.08521610850790033,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,6000,0.03846406936645508,0.0805409045937558,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,6200,0.03781706094741821,0.07626852022912205,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,6400,0.04258875176310539,0.07290054338252039,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,6600,0.04259399697184563,0.0698698887414529,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,6800,0.04242871701717377,0.067125771569025,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,7000,0.04091091454029083,0.06450428586615158,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,7200,0.03425311669707298,0.06147916894924372,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,7400,0.03738659992814064,0.05906991204713341,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,7600,0.041806548833847046,0.05734357572580478,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,7800,0.04233474284410477,0.055842692437634775,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,8000,0.040213968604803085,0.054279820054351606,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,8200,0.03864174336194992,0.05271601238511144,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,8400,0.04028614982962608,0.05147302612956291,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,8600,0.04222773760557175,0.05054849727716379,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,8800,0.03928017616271973,0.04942166516571938,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,9000,0.03242678940296173,0.047722177589443616,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,9200,0.03459491953253746,0.046409451783753,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,9400,0.03964744135737419,0.04573325074111512,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,9600,0.03722337633371353,0.04488226330037496,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,9800,0.038161903619766235,0.044210227332314084,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,10000,0.03283774107694626,0.0430729787067773,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,10200,0.030864829197525978,0.04185216375585217,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,10400,0.03565801680088043,0.041232749060355,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,10600,0.036563679575920105,0.040765842111911504,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,10800,0.03424554318189621,0.04011381221890997,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,11000,0.03231699764728546,0.03933413076174752,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,11200,0.03246888145804405,0.03864760583137718,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,11400,0.03593955188989639,0.0383768004372291,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,11600,0.0316137969493866,0.037700500088444854,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,11800,0.03228667750954628,0.037159117830555,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,12000,0.03159008175134659,0.036602214222634155,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,12200,0.03391043096780777,0.03633303589715151,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,12400,0.029330935329198837,0.03563282584035625,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,12600,0.029657648876309395,0.03503530814395156,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,12800,0.0325823649764061,0.034790013827197014,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,13000,0.03644007444381714,0.03495501988885903,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,13200,0.030305616557598114,0.03449007955573294,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,13400,0.029089534655213356,0.033950025065680976,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,13600,0.03346656262874603,0.03390167882198748,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,13800,0.03338182717561722,0.03384969365735046,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,14000,0.03133673965930939,0.033598398257546354,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,14200,0.025697102770209312,0.03280826870881265,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,14400,0.02857368253171444,0.03238481009110283,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,14600,0.02848937176167965,0.03199526625816051,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,14800,0.02786162681877613,0.031581902314222074,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,15000,0.031164485961198807,0.03154016067891975,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,15200,0.02738339826464653,0.03112448443749243,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,15400,0.029147209599614143,0.0309267569537046,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,15600,0.029204577207565308,0.03075453897909067,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,15800,0.029509378597140312,0.030630022940895636,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,16000,0.02889440953731537,0.030456461600537606,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,16200,0.030701041221618652,0.03048091956264571,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,16400,0.030133407562971115,0.03044616836267825,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,16600,0.02708389237523079,0.030109940763933505,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,16800,0.03221780061721802,0.030320726749261957,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,17000,0.02824021689593792,0.030112675763929554,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,17200,0.03061489388346672,0.03016289757588327,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,17400,0.029615435749292374,0.03010815139322418,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,17600,0.03129670023918152,0.03022700627781991,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,17800,0.03137214481830597,0.030341520131868516,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,18000,0.027916299179196358,0.0300989980366013,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,18200,0.028611766174435616,0.029950274850384734,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,18400,0.027990402653813362,0.029754287630727596,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,18600,0.02902826853096485,0.02968168572075132,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,18800,0.02605495974421501,0.02931901312309769,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,19000,0.029773902148008347,0.029364502025588754,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,19200,0.023260844871401787,0.028754136310170056,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,19400,0.025140002369880676,0.028392722916141117,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,19600,0.023450126871466637,0.027898463311673668,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,19800,0.025784682482481003,0.0276870852287544,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,20000,0.029382631182670593,0.02785663982414602,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,20200,0.027305739000439644,0.027801549741775382,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,20400,0.0253586508333683,0.027557259850934674,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,20600,0.02696254849433899,0.027497788715275105,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,20800,0.025028491392731667,0.02725085898302076,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,21000,0.025967922061681747,0.027122565290886858,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,21200,0.027709174901247025,0.027181226251922874,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,21400,0.027645083144307137,0.0272276119411613,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,21600,0.02560267597436905,0.027065118344482074,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,21800,0.024628423154354095,0.026821448825469277,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,22000,0.023523326963186264,0.026491636639240975,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,22200,0.025058630853891373,0.026348336060706017,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,22400,0.02663896605372429,0.026377399060007845,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,22600,0.0223099198192358,0.02597065113593064,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,22800,0.023987995460629463,0.02577238556840052,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,23000,0.02568501979112625,0.025763648990673092,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,23200,0.02330605685710907,0.025517889777316692,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,23400,0.026012789458036423,0.025567379745388665,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,23600,0.02667377144098282,0.02567801891494808,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,23800,0.022812023758888245,0.025391419399342096,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,24000,0.02285951003432274,0.02513822846284016,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,24200,0.027186498045921326,0.02534305542114828,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,24400,0.02545955404639244,0.025354705283672698,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,24600,0.025631191208958626,0.025382353876201292,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,24800,0.02342904917895794,0.025187023406476956,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,25000,0.023640021681785583,0.02503232323400782,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,25200,0.026495540514588356,0.02517864496206587,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,25400,0.024657711386680603,0.025126551604527342,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,25600,0.02327638864517212,0.02494153530859182,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,25800,0.027127552777528763,0.025160137055485515,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,26000,0.024087220430374146,0.02505284539297438,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,26200,0.025397218763828278,0.02508728273005977,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,26400,0.02539152279496193,0.025117706736549984,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,26600,0.023427337408065796,0.024948669803701567,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,26800,0.02637164294719696,0.025090967118051106,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,27000,0.02553437650203705,0.0251353080564497,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,27200,0.021947424858808517,0.024816519736685583,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,27400,0.022295404225587845,0.02456440818557581,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,27600,0.023670626804232597,0.02447503004744149,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,27800,0.025372236967086792,0.02456475073940602,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,28000,0.02244011126458645,0.024352286791924062,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,28200,0.023437898606061935,0.02426084797333785,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,28400,0.02352391742169857,0.02418715491817392,true
train_length_line_err_cm,ha6twq89,norm-only,0.003,28600,0.020566733554005623,0.023825112781757092,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,0,0.8045641183853149,0.8045641183853149,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,200,0.11697235703468323,0.7358049422502518,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,400,0.10505926609039307,0.6727303746342659,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,600,0.09335373342037201,0.6147927105128764,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,800,0.08764095604419708,0.5620775350660085,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,1000,0.09277014434337616,0.5151467959937454,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,1200,0.09477304667234421,0.47310942106160525,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,1400,0.09850887954235077,0.4356493669096798,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,1600,0.08754116296768188,0.40083854651548007,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,1800,0.07947611808776855,0.3687023036727089,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,2000,0.08115594834089279,0.3399476681395273,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,2200,0.07002377510070801,0.3129552788356454,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,2400,0.08064944297075272,0.2897246952491561,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,2600,0.07493555545806885,0.2682457812700474,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,2800,0.08223079144954681,0.24964428228799734,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,3000,0.07624073326587677,0.23230392738578529,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,3200,0.06809298694133759,0.21588283334134054,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,3400,0.07439056038856506,0.201733606046063,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,3600,0.07874996960163116,0.18943524240161982,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,3800,0.09081705659627914,0.17957342382108574,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,4000,0.08123243600130081,0.16973932503910724,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,4200,0.06858837604522705,0.15962423013971924,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,4400,0.07451093196868896,0.15111290032261623,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,4600,0.06953452527523041,0.14295506281787768,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,4800,0.06471092998981476,0.13513064953507137,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,5000,0.07572589814662933,0.12919017439622715,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,5200,0.08330313861370087,0.12460147081797451,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,5400,0.061067551374435425,0.1182480788736206,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,5600,0.07172389328479767,0.1135956603147383,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,5800,0.06597904860973358,0.10883399914423783,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,6000,0.06376933306455612,0.10432753253626967,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,6200,0.06528591364622116,0.10042337064726481,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,6400,0.06293900310993195,0.09667493389353153,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,6600,0.05638197064399719,0.0926456375685781,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,6800,0.05814656987786293,0.0891957307995066,true
train_length_line_err_cm,rdj7ayvr,norm-only,0.1,7000,0.06193787232041359,0.0864699449515973,true
