condition,n_workers,step,steps_per_sec_mean,steps_per_sec_std
full-aug,4,200,2.088373857857056,0.0886476912434803
full-aug,4,400,2.1085623735358605,0.07365321894755902
full-aug,4,600,2.0925261631280385,0.07113386120769624
full-aug,4,800,2.0877911526511292,0.10255321006293268
full-aug,4,1000,2.0388026519080222,0.10183587370244619
full-aug,4,1200,2.117649546562631,0.08608436803471653
full-aug,4,1400,2.1075701675679754,0.10474581729978424
full-aug,4,1600,2.1166484098142235,0.10539621881425894
full-aug,4,1800,2.104062895237482,0.09918047492105399
full-aug,4,2000,2.10475063039134,0.045702829782010304
full-aug,4,2200,2.1192841652251753,0.0932225326779848
full-aug,4,2400,2.1314248697922666,0.08470801742456159
full-aug,4,2600,2.1509445941435357,0.07337076154700041
full-aug,4,2800,2.1600787107783526,0.07403331745792519
full-aug,4,3000,2.0834952705539727,0.12180184857169211
full-aug,4,3200,2.1051845867150427,0.08883883812089892
full-aug,4,3400,2.144954123298299,0.09728706493513452
full-aug,4,3600,2.1343666933106724,0.0836849878045648
full-aug,4,3800,2.149014944125018,0.09282870835394882
full-aug,4,4000,2.08705764504903,0.09314275840033591
full-aug,4,4200,2.1527760098969377,0.07510066595395454
full-aug,4,4400,2.1608747707980163,0.06982581435228954
full-aug,4,4600,2.130623911227445,0.08598261823584002
full-aug,4,4800,2.125606992572939,0.0900098213408766
full-aug,4,5000,2.08317728239076,0.03232466869936497
full-aug,4,5200,2.1113333035232014,0.05180565340882156
full-aug,4,5400,2.0905383022203163,0.06657755319423275
full-aug,4,5600,2.090616934019404,0.09867037456871172
full-aug,4,5800,2.0978074185577347,0.08091441665724879
full-aug,4,6000,2.0720086129282795,0.03590903614731179
full-aug,4,6200,2.0780031039662057,0.048150742033265005
full-aug,4,6400,2.057956992184435,0.060793166699557866
full-aug,4,6600,2.0916341530773197,0.0966133495550886
full-aug,4,6800,2.125413094284074,0.07885981249882738
full-aug,4,7000,2.0442212702624936,0.09994915263956969
full-aug,4,7200,2.0735017108661205,0.10990831799544937
full-aug,4,7400,2.103788304740067,0.09812325484292887
full-aug,4,7600,2.0880576167400093,0.11770870533707146
full-aug,4,7800,2.081292699808611,0.11037419141479353
full-aug,4,8000,2.0705755745640153,0.08304899373761061
full-aug,4,8200,2.102431114812345,0.09646900821972083
full-aug,4,8400,2.0587811571568944,0.12345831083203551
full-aug,4,8600,2.0698553109559947,0.13635818827933271
full-aug,4,8800,2.067836603192743,0.10411696518021903
full-aug,4,9000,2.028879976238115,0.10683398508706937
full-aug,4,9200,2.075239484023379,0.0953759245070247
full-aug,4,9400,2.096278211114922,0.10141767317654324
full-aug,4,9600,2.078836729254324,0.11475322460116848
full-aug,4,9800,2.09040299699107,0.13543509114221863
full-aug,4,10000,2.0764426924933352,0.13295774582391978
full-aug,4,10200,2.0835922909133315,0.13553456144447734
full-aug,4,10400,2.089540597205988,0.157048284031424
full-aug,4,10600,2.117343798828201,0.13575699324593893
