n_samples,scientific_name,dataset,median_length_pct_err,mean_length_pct_err,n
0,Notiophilus aeneus,biorepo,32.721462,32.721462,2
0,Nebria trifaria,biorepo,7.237224,7.237224,1
0,Paraclivina bipustulata,biorepo,6.5505624,6.5505624,1
0,Lophoglossus tartaricus,biorepo,6.376097,6.376097,1
0,Brachinus alternans,biorepo,6.1505527,6.1505527,1
0,Omus audouini,biorepo,5.8725867,5.8725867,1
0,Cymindis neglecta,biorepo,5.7545075,5.7545075,1
0,Galerita atripes,biorepo,5.3289027,5.4757643,29
0,Agonum corvus,biorepo,5.1335993,5.1335993,1
0,Brachinus americanus,biorepo,4.964424,4.964424,1
0,Gastrellarius blanchardi,biorepo,4.577502,4.577502,2
0,Calathus advena,biorepo,4.381084,4.381084,1
0,Gastrellarius honestus,biorepo,4.3546,4.3546,1
0,Dromochorus pruininus,biorepo,4.107043,5.8407936,3
0,Agonum cupreum,biorepo,4.0306764,4.0306764,1
0,Dyschirius globulosus,biorepo,3.6134417,3.6134417,1
0,Micrixys distincta,biorepo,3.4386265,3.4386265,1
0,Apenes lucidula lucidula,biorepo,3.311277,2.7554903,4
0,Cyclotrachelus brevoorti,biorepo,2.932635,2.932635,2
0,Harpalus desertus,biorepo,2.9172003,3.4775672,25
0,Dromochorus belfragei,biorepo,2.872092,2.7401118,5
0,Piesmus submarginatus,biorepo,2.7359536,2.7359536,1
0,Patrobus septentrionis,biorepo,2.6490185,2.6490185,1
0,Carabus chamissonis,biorepo,2.5569837,2.5569837,2
0,Poecilus cyanicolor,biorepo,2.5181975,2.5181975,1
0,Dicheirus piceus,biorepo,2.5181742,2.9279938,57
0,Calathus gregarius,biorepo,2.4786434,2.6446183,15
0,Amara angustatoides,biorepo,2.458112,2.2054517,11
0,Myas coracinus,biorepo,2.334753,2.334753,2
0,Scaphinotus angulatus,biorepo,2.2800012,2.2800012,2
0,Cicindela abdominalis,biorepo,2.2796702,2.2796702,1
0,Notiophilus novemstriatus,biorepo,2.2667775,3.6191554,17
0,Lebia vittata,biorepo,2.234298,2.682877,14
0,Cyclotrachelus alternans,biorepo,2.2094142,2.3884685,12
0,Platynus ovipennis,biorepo,2.2079575,2.2079575,2
0,Sphaeroderus canadensis canadensis,biorepo,2.0982847,2.119928,6
0,Elaphrus lapponicus,biorepo,2.090244,2.090244,2
0,Galerita bicolor,biorepo,2.0541983,2.3361685,16
0,Agonum retractum,biorepo,2.0282254,1.6961796,5
0,Scaphinotus angusticollis,biorepo,2.0235846,1.8591741,18
0,Bembidion rapidum,biorepo,2.0145588,1.950633,4
0,Discoderus robustus,biorepo,1.9911904,3.1824024,79
0,Harpalus amputatus amputatus,biorepo,1.9860454,2.2886622,3
0,Calosoma sponsa,biorepo,1.9778113,1.7254926,7
0,Lophoglossus haldemanni,biorepo,1.9558359,1.9558359,1
0,Pasimachus californicus,biorepo,1.8829541,1.8829541,1
0,Harpalus opacipennis,biorepo,1.8820972,1.970263,12
0,Calosoma calidum,biorepo,1.8307564,2.0122871,34
0,Harpalus amputatus,biorepo,1.7965069,1.7710226,42
0,Cyclotrachelus faber,biorepo,1.7186089,1.7457265,15
0,Cratacanthus dubius,biorepo,1.7145449,2.0241346,55
0,Loricera pilicornis pilicornis,biorepo,1.6736481,1.6736481,1
0,Dicaelus politus,biorepo,1.6179789,1.7531629,9
0,Piosoma setosum,biorepo,1.6027035,1.9011089,66
0,Dicaelus dilatatus,biorepo,1.594094,1.9775664,35
0,Amara carinata,biorepo,1.5529196,1.5529196,2
0,Cymindis cribricollis,biorepo,1.5511475,2.1975489,31
0,Axinopalpus biplagiatus,biorepo,1.5204356,1.7889283,10
0,Scaphinotus andrewsii,biorepo,1.5188727,1.477564,4
0,Promecognathus crassus,biorepo,1.4947561,2.59815,9
0,Cylindera unipunctata,biorepo,1.4769187,1.676123,4
0,Pterostichus (Abacidus) sp.,biorepo,1.4598637,1.796714,16
0,Diacheila polita,biorepo,1.4304911,2.2961152,13
0,Omus californicus,biorepo,1.3936714,1.735985,14
0,Calosoma affine,biorepo,1.3857915,1.7647791,32
0,Myas cyanescens,biorepo,1.375483,1.4771177,4
0,Stereocerus rubripes,biorepo,1.3258429,1.3313782,8
0,Carabus goryi,biorepo,1.3080499,1.145561,5
0,Platynus decentis,biorepo,1.2884429,1.2884429,2
0,Cychrus tuberculatus,biorepo,1.2838148,1.6584752,16
0,Amara crassispina,biorepo,1.1996064,1.6229113,29
0,Poecilus chalcites,biorepo,1.1180607,2.611576,3
0,Helluomorphoides texanus,biorepo,1.1060666,1.0597385,9
0,Dicaelus elongatus,biorepo,1.0739275,1.8897995,15
0,Metrius contractus,biorepo,1.0550358,1.3639873,47
0,Pterostichus novus,biorepo,1.0400215,1.1949648,10
0,Calosoma scrutator,biorepo,1.0292512,1.167159,13
0,Carabus nemoralis nemoralis,biorepo,0.99680746,1.1843773,16
0,Acupalpus hydropicus,biorepo,0.9549224,0.9549224,1
0,Dicaelus sculptilis sculptilis,biorepo,0.95160484,1.03786,11
0,Carabus truncaticollis,biorepo,0.8891251,1.0447743,13
0,Leistus ferruginosus,biorepo,0.80517614,0.80517614,1
0,Sphaeroderus stenostomus lecontei,biorepo,0.75726926,1.1622921,23
0,Pasimachus depressus,biorepo,0.7413236,0.9109605,12
0,Panagaeus fasciatus,biorepo,0.6920194,0.6920194,1
0,Oxypselaphus pusillus,biorepo,0.6541065,1.8734602,4
0,Sphaeroderus bicarinatus,biorepo,0.62315285,0.9310379,3
0,Pasimachus elongatus,biorepo,0.42589,0.47212553,6
0,Blethisa catenaria,biorepo,0.42568237,0.42568237,1
0,Chlaenius aestivus,biorepo,0.2519511,0.23488677,4
0,Elaphrus clairvillei,biorepo,0.0586493,0.0586493,1
10,Notiophilus aeneus,biorepo,35.18314,35.18314,2
10,Galerita atripes,biorepo,6.0962925,7.7827806,29
10,Omus audouini,biorepo,5.9027357,5.9027357,1
10,Nebria trifaria,biorepo,5.7658563,5.7658563,1
10,Dromochorus pruininus,biorepo,5.7259555,6.30209,3
10,Lophoglossus tartaricus,biorepo,5.701945,5.701945,1
10,Brachinus alternans,biorepo,5.6709533,5.6709533,1
10,Agonum corvus,biorepo,5.4261446,5.4261446,1
10,Paraclivina bipustulata,biorepo,5.1056414,5.1056414,1
10,Brachinus americanus,biorepo,5.0992484,5.0992484,1
10,Agonum cupreum,biorepo,5.089429,5.089429,1
10,Calathus advena,biorepo,4.5339265,4.5339265,1
10,Micrixys distincta,biorepo,3.7832148,3.7832148,1
10,Lebia vittata,biorepo,3.6610355,3.5615203,14
10,Gastrellarius honestus,biorepo,3.6021173,3.6021173,1
10,Cicindela abdominalis,biorepo,3.475645,3.475645,1
10,Cyclotrachelus alternans,biorepo,3.0275226,2.8497174,12
10,Cylindera unipunctata,biorepo,2.9913626,2.4195347,4
10,Cyclotrachelus brevoorti,biorepo,2.971037,2.971037,2
10,Piesmus submarginatus,biorepo,2.9557827,2.9557827,1
10,Amara carinata,biorepo,2.9315438,2.9315438,2
10,Gastrellarius blanchardi,biorepo,2.9263692,2.9263692,2
10,Dicheirus piceus,biorepo,2.7565804,3.0084434,57
10,Apenes lucidula lucidula,biorepo,2.6932702,3.4789116,4
10,Amara angustatoides,biorepo,2.518491,2.0580134,11
10,Sphaeroderus canadensis canadensis,biorepo,2.4844325,2.8911731,6
10,Diacheila polita,biorepo,2.4588223,2.626288,13
10,Harpalus amputatus amputatus,biorepo,2.4480336,2.973902,3
10,Carabus chamissonis,biorepo,2.4335942,2.4335942,2
10,Calosoma sponsa,biorepo,2.399165,2.1412616,7
10,Galerita bicolor,biorepo,2.163252,2.4483652,16
10,Harpalus desertus,biorepo,2.1470637,2.8654263,25
10,Pasimachus californicus,biorepo,2.1447675,2.1447675,1
10,Dromochorus belfragei,biorepo,2.063947,2.475166,5
10,Elaphrus lapponicus,biorepo,2.0574253,2.0574253,2
10,Scaphinotus andrewsii,biorepo,2.0499701,1.9143226,4
10,Piosoma setosum,biorepo,2.004971,2.4179595,66
10,Platynus ovipennis,biorepo,1.9889519,1.9889519,2
10,Agonum retractum,biorepo,1.9450138,2.330758,5
10,Leistus ferruginosus,biorepo,1.8609507,1.8609507,1
10,Lophoglossus haldemanni,biorepo,1.8378075,1.8378075,1
10,Discoderus robustus,biorepo,1.816822,2.8365936,79
10,Calosoma calidum,biorepo,1.7952065,1.7796502,34
10,Notiophilus novemstriatus,biorepo,1.7744856,2.967165,17
10,Dicaelus politus,biorepo,1.733201,1.7085338,9
10,Oxypselaphus pusillus,biorepo,1.7014532,1.6433029,4
10,Cymindis cribricollis,biorepo,1.6705592,2.092297,31
10,Cymindis neglecta,biorepo,1.6472694,1.6472694,1
10,Promecognathus crassus,biorepo,1.6459087,2.5953827,9
10,Myas coracinus,biorepo,1.6396474,1.6396474,2
10,Platynus decentis,biorepo,1.6140379,1.6140379,2
10,Amara crassispina,biorepo,1.6109967,1.6411668,29
10,Harpalus amputatus,biorepo,1.5587713,1.7322811,42
10,Calathus gregarius,biorepo,1.5568404,2.6872077,15
10,Poecilus chalcites,biorepo,1.5509611,3.6261165,3
10,Cratacanthus dubius,biorepo,1.54243,1.8858523,55
